"",ChangSheng.Open,ChangSheng.High,ChangSheng.Low,ChangSheng.Close,ChangSheng.Volume,ChangSheng.Adjusted
2012-06-05,31.1,33.98,30.5,31.9,16213000,31.9
2012-06-06,32,34.77,31.05,32.95,11618900,32.95
2012-06-07,32.86,33.77,32.4,33.66,7096500,33.66
2012-06-08,33.8,34.83,32.98,33,5359800,33
2012-06-11,32.7,33.74,32.6,32.89,4513500,32.89
2012-06-12,32.5,32.62,31.41,31.54,4263500,31.54
2012-06-13,31.69,32.66,31.2,32.34,3150900,32.34
2012-06-14,32.12,35.48,32.06,34.65,5597700,34.65
2012-06-15,34.44,35.44,33.81,35.37,4619300,35.37
2012-06-18,35.5,36.68,35.05,35.7,4059300,35.7
2012-06-19,35.4,36.25,34.95,35.36,3319700,35.36
2012-06-20,35.58,36.49,35.12,36.36,3067400,36.36
2012-06-21,36.12,36.18,34.4,35.16,3302800,35.16
2012-06-25,35.36,36.35,34.67,34.9,2774500,34.9
2012-06-26,34.5,36,33.5,34.35,3484800,34.35
2012-06-27,34.37,37.79,34.37,37.79,4368200,37.79
2012-06-28,38.9,39.23,35.91,36,7352300,36
2012-06-29,35.03,36.58,34.66,35.95,4321300,35.95
2012-07-02,36.83,39.27,36.8,38.12,5054100,38.12
2012-07-03,37.81,41.11,37.75,39.91,5008200,39.91
2012-07-04,39.5,39.78,38.5,38.73,2696800,38.73
2012-07-05,38.52,40.39,38.51,39.2,2954600,39.2
2012-07-06,39.3,39.97,37.25,39.97,3744000,39.97
2012-07-09,39.3,39.5,38.2,38.9,2477700,38.9
2012-07-10,38.8,38.8,36.7,36.99,2046900,36.99
2012-07-11,36.6,37.7,36.2,37.23,1730700,37.23
2012-07-12,37,38.96,36.72,38.53,2561400,38.53
2012-07-13,38.48,38.9,36.7,36.82,2758900,36.82
2012-07-16,35,35.35,33.14,33.14,4547500,33.14
2012-07-17,31.95,33.6,31.8,33.11,2376200,33.11
2012-07-18,32.89,33.9,32.45,33.52,2233400,33.52
2012-07-19,33.23,34.08,32.75,33.56,2713600,33.56
2012-07-20,33,34.51,32.7,33.31,2508600,33.31
2012-07-23,32.8,33,30.62,30.99,2209300,30.99
2012-07-24,30.68,31.97,30.55,31.38,1708100,31.38
2012-07-25,31.26,33.38,31.12,32.3,2336700,32.3
2012-07-26,31.98,32.76,31.6,31.68,1670700,31.68
2012-07-27,31.85,32.68,30.88,32.59,2464500,32.59
2012-07-30,32.59,32.84,31.8,32.01,1463600,32.01
2012-07-31,32.3,32.49,30.8,32.15,1191900,32.15
2012-08-01,31.85,32.88,31.78,32.17,1335600,32.17
2012-08-02,31.98,32.63,31.52,32.32,1185300,32.32
2012-08-03,32.45,33.5,32.3,33.29,2090800,33.29
2012-08-06,32.87,34.17,32.71,33.99,2109900,33.99
2012-08-07,33.9,35,33.5,33.94,2310100,33.94
2012-08-08,33.78,34.35,33.18,33.93,1602900,33.93
2012-08-09,34.08,35.68,33.76,35.18,3025500,35.18
2012-08-10,35,36.22,34.64,34.92,2272200,34.92
2012-08-13,34.9,34.9,33.75,33.82,1760200,33.82
2012-08-14,33.17,36.17,32.72,35.75,3762700,35.75
2012-08-15,35.81,36.35,34.57,35.58,3663500,35.58
2012-08-16,35,35.29,34.18,34.2,1770200,34.2
2012-08-17,34.13,34.86,33.71,34.29,1355400,34.29
2012-08-20,33.76,34.99,33.52,34.72,1454200,34.72
2012-08-21,34.73,35.5,34.51,34.7,1896100,34.7
2012-08-22,34.84,36.5,34.51,35.67,3361600,35.67
2012-08-23,35.41,35.98,35.1,35.35,1763700,35.35
2012-08-24,34.99,35.31,33.81,33.81,1547100,33.81
2012-08-27,33.16,34.39,33.01,33.31,1000600,33.31
2012-08-28,33.3,33.89,32.76,33.5,901000,33.5
2012-08-29,33.15,34.3,33.15,33.66,1141900,33.66
2012-08-30,33.64,33.88,30.7,31.01,2627600,31.01
2012-08-31,30.9,32.15,30.9,31.63,1139400,31.63
2012-09-03,31.35,32.36,31.04,32.02,1144800,32.02
2012-09-04,32.03,32.77,31.53,31.66,1379700,31.66
2012-09-05,31.67,31.95,31.1,31.63,923400,31.63
2012-09-06,31.72,32.36,31.72,32.1,1011300,32.1
2012-09-07,32.42,34.19,32.35,33.65,2083400,33.65
2012-09-10,33.37,34.4,33.37,34.04,1447800,34.04
2012-09-11,33.88,33.95,33.35,33.55,1296100,33.55
2012-09-12,33.8,34.28,33.39,33.87,927400,33.87
2012-09-13,33.7,34.05,32.78,32.83,1072600,32.83
2012-09-14,32.98,33.14,31.68,32.17,1187900,32.17
2012-09-17,32.02,32.18,31.52,31.61,563200,31.61
2012-09-18,31.5,31.92,31.22,31.59,541800,31.59
2012-09-19,31.58,31.85,31.12,31.64,402900,31.64
2012-09-20,31.64,31.85,28.64,28.7,1930300,28.7
2012-09-21,28.7,28.9,27.4,27.52,1340000,27.52
2012-09-24,27.02,27.47,26.16,27.27,1964700,27.27
2012-09-25,26.95,27.4,26.6,26.85,848500,26.85
2012-09-26,26.61,26.92,25.39,25.69,1191900,25.69
2012-09-27,25.76,26.74,25.18,26.41,1194900,26.41
2012-09-28,26.1,26.99,26.01,26.91,939800,26.91
2012-10-08,25.79,26.36,25.5,26.12,1500100,26.12
2012-10-09,25.93,27.27,25.84,27.19,1854400,27.19
2012-10-10,26.9,28.08,26.9,27.74,1967700,27.74
2012-10-11,28.18,28.18,26.8,26.81,1445000,26.81
2012-10-12,26.82,27.2,25.8,26.2,1255700,26.2
2012-10-15,26.15,26.22,24.56,24.66,1750500,24.66
2012-10-16,24.68,25.06,24.56,24.79,1176800,24.79
2012-10-17,24.78,24.96,24.31,24.84,869100,24.84
2012-10-18,24.95,26.79,24.94,26.62,2570900,26.62
2012-10-19,26.49,26.72,25.83,26.19,1590800,26.19
2012-10-22,26.22,26.84,25.8,26.66,1569400,26.66
2012-10-23,26.39,26.49,25.76,25.98,1316700,25.98
2012-10-24,25.7,25.88,25,25.23,801300,25.23
2012-10-25,25.05,25.45,24.75,25.08,917900,25.08
2012-10-26,25,25.27,24.39,24.55,669700,24.55
2012-10-29,24.55,24.83,24.28,24.74,798200,24.74
2012-10-30,24.74,25.27,24.74,24.98,717900,24.98
2012-10-31,24.95,25.2,24.78,24.93,530800,24.93
2012-11-01,24.92,25.45,24.92,25.32,1137300,25.32
2012-11-02,25.32,25.39,24.82,24.95,871900,24.95
2012-11-05,24.96,25.1,24.6,24.91,506900,24.91
2012-11-06,25,27.37,25,26.8,4228700,26.8
2012-11-07,26.57,26.57,25.85,26.05,2462600,26.05
2012-11-08,25.75,25.78,24.78,24.78,1453300,24.78
2012-11-09,24.5,25.11,24.5,24.85,924400,24.85
2012-11-12,25.01,25.28,24.8,25.26,708400,25.26
2012-11-13,25.26,25.5,24.81,24.83,753600,24.83
2012-11-14,24.98,26.28,24.63,25.81,1843700,25.81
2012-11-15,25.47,26.25,25.26,26.08,1842500,26.08
2012-11-16,25.9,26.97,25.75,26.04,2117900,26.04
2012-11-19,26.2,27.08,25.86,26.87,2100200,26.87
2012-11-20,26.87,26.95,26.4,26.4,1719300,26.4
2012-11-21,26.35,26.65,25.75,26.5,1550100,26.5
2012-11-22,26.26,26.56,25.91,26.11,885900,26.11
2012-11-23,26.14,26.38,25.93,26.13,872600,26.13
2012-11-26,26.2,26.2,23.52,23.52,2585600,23.52
2012-11-27,22.69,22.69,21.21,21.21,2219700,21.21
2012-11-28,20.95,21.5,20.85,21,961100,21
2012-11-29,21.1,21.35,19.82,19.97,1116100,19.97
2012-11-30,20,20.3,19.75,20.1,977100,20.1
2012-12-03,19.99,20.2,18.93,18.93,913000,18.93
2012-12-04,18.96,19.42,18.8,19.33,1139700,19.33
2012-12-05,19.25,20.58,19.25,20.54,1828800,20.54
2012-12-06,20.5,20.6,20.07,20.28,958500,20.28
2012-12-07,20.4,21.19,20.23,20.91,1606300,20.91
2012-12-10,20.9,21.67,20.72,21.53,1699700,21.53
2012-12-11,21.29,21.49,20.85,20.89,1343800,20.89
2012-12-12,20.82,21.11,20.56,21.1,1274700,21.1
2012-12-13,21,21,20.4,20.41,914300,20.41
2012-12-14,20.36,21.4,20.2,21.35,1748100,21.35
2012-12-17,21.33,22.08,21.21,21.81,2000300,21.81
2012-12-18,21.83,21.83,21.32,21.57,1582500,21.57
2012-12-19,21.5,22.39,21.36,22.01,1918500,22.01
2012-12-20,22.3,23.48,21.9,23.1,3377400,23.1
